Trim,Year,Miles,Price,Drive
XLE,2013,185082,9950.00,AWD
XLE,2013,174562,9690.00,AWD
XLE,2013,169952,10500.00,AWD
XLE,2013,"157,629",12999.00,AWD
XLE,2013,"155,841",10566.00,AWD
XLE,2013,"146,523",11666.00,AWD
XLE,2013,"144,736",10974.00,AWD
XLE,2013,141969,12387.00,AWD
XLE,2013,139040,12795.00,AWD
XLE,2013,138669,12556.00,AWD
XLE,2013,137904,11498.00,AWD
XLE,2013,129558,13495.00,AWD
XLE,2013,128410,15492.00,AWD
XLE,2013,127374,12488.00,AWD
XLE,2013,118760,11899.00,AWD
XLE,2013,118181,15996.00,AWD
XLE,2013,116535,14000.00,AWD
XLE,2013,108898,12990.00,AWD
XLE,2013,106556,13748.00,AWD
XLE,2013,105058,14871.00,AWD
XLE,2013,98654,14477.00,AWD
XLE,2013,97550,15999.00,AWD
XLE,2013,95184,15589.00,AWD
XLE,2013,89989,16984.00,AWD
XLE,2013,84463,12997.00,AWD
XLE,2013,82353,11795.00,AWD
XLE,2013,81802,15998.00,AWD
XLE,2013,79074,16998.00,AWD
XLE,2013,76192,15590.00,AWD
XLE,2013,71071,14995.00,AWD
XLE,2013,68453,15453.00,AWD
XLE,2013,67474,16060.00,AWD
XLE,2013,66842,14393.00,AWD
XLE,2013,60851,15229.00,AWD
XLE,2013,58841,14990.00,AWD
XLE,2013,52018,15500.00,AWD
XLE,2013,51218,16995.00,AWD
XLE,2013,44806,17250.00,AWD
XLE,2013,39480,17590.00,AWD
XLE,2013,36486,16988.00,AWD
XLE,2013,33881,18990.00,AWD
XLE,2013,29117,16998.00,AWD
XLE,2013,23374,16999.00,AWD
XLE,2013,21866,17998.00,AWD